code_bss,urn_bss,date_mesure,timestamp_mesure,niveau_nappe_eau,mode_obtention,statut,qualification,code_continuite,nom_continuite,code_producteur,nom_producteur,code_nature_mesure,nom_nature_mesure,profondeur_nappe
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-01-06,-94262400000,140.69,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,1,Point initial,40494388800036,APRONA (40494388800036),,,3.04
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-01-13,-93657600000,140.53,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.2
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-01-20,-93052800000,140.4,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.33
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-01-27,-92448000000,140.39,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.34
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-02-03,-91843200000,140.55,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.18
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-02-17,-90633600000,140.3,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,1,Point initial,40494388800036,APRONA (40494388800036),,,3.43
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-02-24,-90028800000,140.27,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.46
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-03-03,-89424000000,140.32,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.41
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-03-10,-88819200000,140.34,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.39
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-03-17,-88214400000,140.4,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.33
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-03-31,-87004800000,140.37,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,1,Point initial,40494388800036,APRONA (40494388800036),,,3.36
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-04-07,-86400000000,140.32,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.41
